2026-04-03 09:17:32 | DEBUG    | pipecat.transports.smallwebrtc.connection:281 | Initializing new peer connection
2026-04-03 09:17:33 | DEBUG    | pipecat.transports.smallwebrtc.connection:368 | Creating answer
2026-04-03 09:17:33 | DEBUG    | pipecat.transports.smallwebrtc.connection:350 | Track audio received
2026-04-03 09:17:33 | DEBUG    | pipecat.transports.smallwebrtc.connection:346 | ICE gathering state is gathering
2026-04-03 09:17:33 | DEBUG    | pipecat.transports.smallwebrtc.connection:346 | ICE gathering state is complete
2026-04-03 09:17:33 | DEBUG    | pipecat.transports.smallwebrtc.connection:371 | Setting the answer after the local description is created
2026-04-03 09:17:33 | DEBUG    | pipecat.audio.vad.silero:147 | Loading Silero VAD model...
2026-04-03 09:17:33 | DEBUG    | pipecat.audio.vad.silero:169 | Loaded Silero VAD
2026-04-03 09:17:33 | DEBUG    | pipecat.processors.frame_processor:589 | Linking Pipeline#0::Source -> SmallWebRTCInputTransport#0
2026-04-03 09:17:33 | DEBUG    | pipecat.processors.frame_processor:589 | Linking SmallWebRTCInputTransport#0 -> ElevenLabsRealtimeSTTService#0
2026-04-03 09:17:33 | DEBUG    | pipecat.processors.frame_processor:589 | Linking ElevenLabsRealtimeSTTService#0 -> OpenAIUserContextAggregator#0
2026-04-03 09:17:33 | DEBUG    | pipecat.processors.frame_processor:589 | Linking OpenAIUserContextAggregator#0 -> OpenAILLMService#0
2026-04-03 09:17:33 | DEBUG    | pipecat.processors.frame_processor:589 | Linking OpenAILLMService#0 -> ElevenLabsTTSService#0
2026-04-03 09:17:33 | DEBUG    | pipecat.processors.frame_processor:589 | Linking ElevenLabsTTSService#0 -> SmallWebRTCOutputTransport#0
2026-04-03 09:17:33 | DEBUG    | pipecat.processors.frame_processor:589 | Linking SmallWebRTCOutputTransport#0 -> OpenAIAssistantContextAggregator#0
2026-04-03 09:17:33 | DEBUG    | pipecat.processors.frame_processor:589 | Linking OpenAIAssistantContextAggregator#0 -> Pipeline#0::Sink
2026-04-03 09:17:33 | DEBUG    | pipecat.processors.frame_processor:589 | Linking PipelineTask#0::Source -> RTVIProcessor#0
2026-04-03 09:17:33 | DEBUG    | pipecat.processors.frame_processor:589 | Linking RTVIProcessor#0 -> Pipeline#0
2026-04-03 09:17:33 | DEBUG    | pipecat.processors.frame_processor:589 | Linking Pipeline#0 -> PipelineTask#0::Sink
2026-04-03 09:17:33 | DEBUG    | pipecat.pipeline.runner:71 | Runner PipelineRunner#0 started running PipelineTask#0
2026-04-03 09:17:33 | DEBUG    | pipecat.transports.smallwebrtc.connection:340 | ICE connection state is checking, connection is connecting
2026-04-03 09:17:33 | DEBUG    | pipecat.transports.smallwebrtc.connection:541 | Monitoring connecting state
2026-04-03 09:17:33 | DEBUG    | pipecat.transports.smallwebrtc.connection:617 | Connection state changed to: connecting
2026-04-03 09:17:33 | DEBUG    | pipecat.pipeline.task:745 | PipelineTask#0: Starting. Waiting for StartFrame#0 to reach the end of the pipeline...
2026-04-03 09:17:33 | DEBUG    | pipecat.audio.vad.vad_analyzer:156 | Setting VAD params to: confidence=0.7 start_secs=0.2 stop_secs=0.7 min_volume=0.6
2026-04-03 09:17:33 | INFO     | pipecat.transports.smallwebrtc.transport:462 | Connecting to Small WebRTC
2026-04-03 09:17:33 | DEBUG    | pipecat.services.elevenlabs.stt:756 | Connecting to ElevenLabs Realtime STT
2026-04-03 09:17:33 | DEBUG    | pipecat.transports.smallwebrtc.connection:340 | ICE connection state is completed, connection is connecting
2026-04-03 09:17:34 | DEBUG    | pipecat.transports.smallwebrtc.connection:561 | Cancelling the connecting timeout task
2026-04-03 09:17:34 | DEBUG    | pipecat.transports.smallwebrtc.connection:617 | Connection state changed to: connected
2026-04-03 09:17:34 | DEBUG    | pipecat.transports.smallwebrtc.transport:253 | Peer connection established.
2026-04-03 09:17:34 | WARNING  | pipecat.transports.smallwebrtc.connection:680 | No video transceiver is available
2026-04-03 09:17:34 | WARNING  | pipecat.transports.smallwebrtc.connection:702 | No screen video transceiver is available
2026-04-03 09:17:34 | DEBUG    | pipecat.transports.smallwebrtc.connection:456 | Replacing audio track audio
2026-04-03 09:17:34 | INFO     | __main__:114 | WebRTC Maya: Client connected
2026-04-03 09:17:34 | DEBUG    | pipecat.services.elevenlabs.stt:800 | Connected to ElevenLabs Realtime STT
2026-04-03 09:17:34 | DEBUG    | pipecat.services.elevenlabs.stt:852 | ElevenLabs session started: {'message_type': 'session_started', 'session_id': '87dd373797fc434a9df63cfb2074adc0', 'config': {'sample_rate': 16000, 'audio_format': 'pcm_16000', 'language_code': None, 'timestamps_granularity': 'word', 'vad_commit_strategy': False, 'vad_silence_threshold_secs': 1.5, 'vad_threshold': 0.4, 'min_speech_duration_ms': 100, 'min_silence_duration_ms': 100, 'max_tokens_to_recompute': 5, 'model_id': 'scribe_v2_realtime', 'disable_logging': False, 'include_timestamps': False, 'include_language_detection': False}}
2026-04-03 09:17:34 | DEBUG    | pipecat.services.elevenlabs.tts:652 | Connecting to ElevenLabs
2026-04-03 09:17:34 | DEBUG    | pipecat.pipeline.task:748 | PipelineTask#0: StartFrame#0 reached the end of the pipeline, pipeline is now ready.
2026-04-03 09:17:34 | DEBUG    | pipecat.transports.smallwebrtc.connection:732 | Data channel not ready, queuing message
2026-04-03 09:17:34 | DEBUG    | pipecat.transports.smallwebrtc.connection:732 | Data channel not ready, queuing message
