2026-04-02 05:12:11 | DEBUG    | pipecat.transports.smallwebrtc.connection:281 | Initializing new peer connection
2026-04-02 05:12:11 | DEBUG    | pipecat.transports.smallwebrtc.connection:368 | Creating answer
2026-04-02 05:12:11 | DEBUG    | pipecat.transports.smallwebrtc.connection:350 | Track audio received
2026-04-02 05:12:11 | DEBUG    | pipecat.transports.smallwebrtc.connection:346 | ICE gathering state is gathering
2026-04-02 05:12:11 | DEBUG    | pipecat.transports.smallwebrtc.connection:346 | ICE gathering state is complete
2026-04-02 05:12:11 | DEBUG    | pipecat.transports.smallwebrtc.connection:371 | Setting the answer after the local description is created
2026-04-02 05:12:11 | DEBUG    | pipecat.audio.vad.silero:147 | Loading Silero VAD model...
2026-04-02 05:12:11 | DEBUG    | pipecat.audio.vad.silero:169 | Loaded Silero VAD
2026-04-02 05:12:11 | DEBUG    | pipecat.processors.frame_processor:589 | Linking Pipeline#0::Source -> SmallWebRTCInputTransport#0
2026-04-02 05:12:11 | DEBUG    | pipecat.processors.frame_processor:589 | Linking SmallWebRTCInputTransport#0 -> ElevenLabsRealtimeSTTService#0
2026-04-02 05:12:11 | DEBUG    | pipecat.processors.frame_processor:589 | Linking ElevenLabsRealtimeSTTService#0 -> OpenAIUserContextAggregator#0
2026-04-02 05:12:11 | DEBUG    | pipecat.processors.frame_processor:589 | Linking OpenAIUserContextAggregator#0 -> OpenAILLMService#0
2026-04-02 05:12:11 | DEBUG    | pipecat.processors.frame_processor:589 | Linking OpenAILLMService#0 -> ElevenLabsTTSService#0
2026-04-02 05:12:11 | DEBUG    | pipecat.processors.frame_processor:589 | Linking ElevenLabsTTSService#0 -> SmallWebRTCOutputTransport#0
2026-04-02 05:12:11 | DEBUG    | pipecat.processors.frame_processor:589 | Linking SmallWebRTCOutputTransport#0 -> OpenAIAssistantContextAggregator#0
2026-04-02 05:12:11 | DEBUG    | pipecat.processors.frame_processor:589 | Linking OpenAIAssistantContextAggregator#0 -> Pipeline#0::Sink
2026-04-02 05:12:11 | DEBUG    | pipecat.processors.frame_processor:589 | Linking PipelineTask#0::Source -> RTVIProcessor#0
2026-04-02 05:12:11 | DEBUG    | pipecat.processors.frame_processor:589 | Linking RTVIProcessor#0 -> Pipeline#0
2026-04-02 05:12:11 | DEBUG    | pipecat.processors.frame_processor:589 | Linking Pipeline#0 -> PipelineTask#0::Sink
2026-04-02 05:12:11 | DEBUG    | pipecat.pipeline.runner:71 | Runner PipelineRunner#0 started running PipelineTask#0
2026-04-02 05:12:11 | DEBUG    | pipecat.transports.smallwebrtc.connection:340 | ICE connection state is checking, connection is connecting
2026-04-02 05:12:11 | DEBUG    | pipecat.transports.smallwebrtc.connection:541 | Monitoring connecting state
